"","X","t","n"
"21625",21625,"2009-07-21 16:00:00",211
"21626",21626,"2009-07-21 17:00:00",229
"21627",21627,"2009-07-21 18:00:00",184
"21628",21628,"2009-07-21 19:00:00",146
"21629",21629,"2009-07-21 20:00:00",168
"21630",21630,"2009-07-21 21:00:00",175
"21631",21631,"2009-07-21 22:00:00",132
"21632",21632,"2009-07-21 23:00:00",135
"21633",21633,"2009-07-22 00:00:00",335
"21634",21634,"2009-07-22 01:00:00",71
"21635",21635,"2009-07-22 02:00:00",51
"21636",21636,"2009-07-22 03:00:00",35
"21637",21637,"2009-07-22 04:00:00",26
"21638",21638,"2009-07-22 05:00:00",47
"21639",21639,"2009-07-22 06:00:00",62
"21640",21640,"2009-07-22 07:00:00",95
"21641",21641,"2009-07-22 08:00:00",104
"21642",21642,"2009-07-22 09:00:00",171
"21643",21643,"2009-07-22 10:00:00",212
"21644",21644,"2009-07-22 11:00:00",244
"21645",21645,"2009-07-22 12:00:00",218
"21646",21646,"2009-07-22 13:00:00",200
"21647",21647,"2009-07-22 14:00:00",227
"21648",21648,"2009-07-22 15:00:00",187
"21649",21649,"2009-07-22 16:00:00",200
"21650",21650,"2009-07-22 17:00:00",179
"21651",21651,"2009-07-22 18:00:00",169
"21652",21652,"2009-07-22 19:00:00",155
"21653",21653,"2009-07-22 20:00:00",178
"21654",21654,"2009-07-22 21:00:00",185
"21655",21655,"2009-07-22 22:00:00",198
"21656",21656,"2009-07-22 23:00:00",152
"21657",21657,"2009-07-23 00:00:00",341
"21658",21658,"2009-07-23 01:00:00",129
"21659",21659,"2009-07-23 02:00:00",80
"21660",21660,"2009-07-23 03:00:00",53
"21661",21661,"2009-07-23 04:00:00",33
"21662",21662,"2009-07-23 05:00:00",48
"21663",21663,"2009-07-23 06:00:00",51
"21664",21664,"2009-07-23 07:00:00",80
"21665",21665,"2009-07-23 08:00:00",133
"21666",21666,"2009-07-23 09:00:00",157
"21667",21667,"2009-07-23 10:00:00",207
"21668",21668,"2009-07-23 11:00:00",234
"21669",21669,"2009-07-23 12:00:00",215
"21670",21670,"2009-07-23 13:00:00",195
"21671",21671,"2009-07-23 14:00:00",244
"21672",21672,"2009-07-23 15:00:00",228
"21673",21673,"2009-07-23 16:00:00",221
