"","X","t","n"
"20137",20137,"2009-05-20 16:00:00",57
"20138",20138,"2009-05-20 17:00:00",44
"20139",20139,"2009-05-20 18:00:00",53
"20140",20140,"2009-05-20 19:00:00",70
"20141",20141,"2009-05-20 20:00:00",63
"20142",20142,"2009-05-20 21:00:00",62
"20143",20143,"2009-05-20 22:00:00",63
"20144",20144,"2009-05-20 23:00:00",91
"20145",20145,"2009-05-21 00:00:00",98
"20146",20146,"2009-05-21 01:00:00",15
"20147",20147,"2009-05-21 02:00:00",16
"20148",20148,"2009-05-21 03:00:00",4
"20149",20149,"2009-05-21 04:00:00",6
"20150",20150,"2009-05-21 05:00:00",7
"20151",20151,"2009-05-21 06:00:00",24
"20152",20152,"2009-05-21 07:00:00",34
"20153",20153,"2009-05-21 08:00:00",53
"20154",20154,"2009-05-21 09:00:00",73
"20155",20155,"2009-05-21 10:00:00",68
"20156",20156,"2009-05-21 11:00:00",47
"20157",20157,"2009-05-21 12:00:00",71
"20158",20158,"2009-05-21 13:00:00",76
"20159",20159,"2009-05-21 14:00:00",82
"20160",20160,"2009-05-21 15:00:00",49
"20161",20161,"2009-05-21 16:00:00",44
"20162",20162,"2009-05-21 17:00:00",39
"20163",20163,"2009-05-21 18:00:00",54
"20164",20164,"2009-05-21 19:00:00",66
"20165",20165,"2009-05-21 20:00:00",57
"20166",20166,"2009-05-21 21:00:00",50
"20167",20167,"2009-05-21 22:00:00",43
"20168",20168,"2009-05-21 23:00:00",28
"20169",20169,"2009-05-22 00:00:00",97
"20170",20170,"2009-05-22 01:00:00",34
"20171",20171,"2009-05-22 02:00:00",17
"20172",20172,"2009-05-22 03:00:00",3
"20173",20173,"2009-05-22 04:00:00",3
"20174",20174,"2009-05-22 05:00:00",13
"20175",20175,"2009-05-22 06:00:00",25
"20176",20176,"2009-05-22 07:00:00",34
"20177",20177,"2009-05-22 08:00:00",34
"20178",20178,"2009-05-22 09:00:00",51
"20179",20179,"2009-05-22 10:00:00",53
"20180",20180,"2009-05-22 11:00:00",48
"20181",20181,"2009-05-22 12:00:00",57
"20182",20182,"2009-05-22 13:00:00",71
"20183",20183,"2009-05-22 14:00:00",49
"20184",20184,"2009-05-22 15:00:00",82
"20185",20185,"2009-05-22 16:00:00",63
"20186",20186,"2009-05-22 17:00:00",60
"20187",20187,"2009-05-22 18:00:00",55
"20188",20188,"2009-05-22 19:00:00",38
"20189",20189,"2009-05-22 20:00:00",44
"20190",20190,"2009-05-22 21:00:00",38
"20191",20191,"2009-05-22 22:00:00",42
"20192",20192,"2009-05-22 23:00:00",42
