"","X","t","n"
"19484",19484,"2009-04-23 11:00:00",71
"19485",19485,"2009-04-23 12:00:00",73
"19486",19486,"2009-04-23 13:00:00",46
"19487",19487,"2009-04-23 14:00:00",51
"19488",19488,"2009-04-23 15:00:00",59
"19489",19489,"2009-04-23 16:00:00",50
"19490",19490,"2009-04-23 17:00:00",68
"19491",19491,"2009-04-23 18:00:00",44
"19492",19492,"2009-04-23 19:00:00",43
"19493",19493,"2009-04-23 20:00:00",40
"19494",19494,"2009-04-23 21:00:00",31
"19495",19495,"2009-04-23 22:00:00",78
"19496",19496,"2009-04-23 23:00:00",23
"19497",19497,"2009-04-24 00:00:00",78
"19498",19498,"2009-04-24 01:00:00",20
"19499",19499,"2009-04-24 02:00:00",8
"19500",19500,"2009-04-24 03:00:00",6
"19501",19501,"2009-04-24 04:00:00",6
"19502",19502,"2009-04-24 05:00:00",10
"19503",19503,"2009-04-24 06:00:00",10
"19504",19504,"2009-04-24 07:00:00",22
"19505",19505,"2009-04-24 08:00:00",48
"19506",19506,"2009-04-24 09:00:00",39
"19507",19507,"2009-04-24 10:00:00",57
"19508",19508,"2009-04-24 11:00:00",58
"19509",19509,"2009-04-24 12:00:00",61
"19510",19510,"2009-04-24 13:00:00",64
"19511",19511,"2009-04-24 14:00:00",48
"19512",19512,"2009-04-24 15:00:00",45
"19513",19513,"2009-04-24 16:00:00",47
"19514",19514,"2009-04-24 17:00:00",33
"19515",19515,"2009-04-24 18:00:00",32
"19516",19516,"2009-04-24 19:00:00",37
"19517",19517,"2009-04-24 20:00:00",35
"19518",19518,"2009-04-24 21:00:00",43
"19519",19519,"2009-04-24 22:00:00",27
"19520",19520,"2009-04-24 23:00:00",28
"19521",19521,"2009-04-25 00:00:00",55
"19522",19522,"2009-04-25 01:00:00",9
"19523",19523,"2009-04-25 02:00:00",13
"19524",19524,"2009-04-25 03:00:00",7
"19525",19525,"2009-04-25 04:00:00",15
"19526",19526,"2009-04-25 05:00:00",5
"19527",19527,"2009-04-25 06:00:00",17
"19528",19528,"2009-04-25 07:00:00",9
"19529",19529,"2009-04-25 08:00:00",19
"19530",19530,"2009-04-25 09:00:00",37
"19531",19531,"2009-04-25 10:00:00",36
"19532",19532,"2009-04-25 11:00:00",31
"19533",19533,"2009-04-25 12:00:00",28
"19534",19534,"2009-04-25 13:00:00",46
"19535",19535,"2009-04-25 14:00:00",31
"19536",19536,"2009-04-25 15:00:00",30
"19537",19537,"2009-04-25 16:00:00",39
"19538",19538,"2009-04-25 17:00:00",29
"19539",19539,"2009-04-25 18:00:00",39
"19540",19540,"2009-04-25 19:00:00",40
"19541",19541,"2009-04-25 20:00:00",31
"19542",19542,"2009-04-25 21:00:00",43
"19543",19543,"2009-04-25 22:00:00",32
"19544",19544,"2009-04-25 23:00:00",27
"19545",19545,"2009-04-26 00:00:00",39
"19546",19546,"2009-04-26 01:00:00",12
"19547",19547,"2009-04-26 02:00:00",11
"19548",19548,"2009-04-26 03:00:00",8
"19549",19549,"2009-04-26 04:00:00",5
"19550",19550,"2009-04-26 05:00:00",3
